Name,Price,Spread,RollLong,RollShort,PIP,PIPCost,MarginCost,Leverage,Multiplier,Commission,Symbol
AUD/USD,0.77311,0.00005,0,0,0.0001,2.2,0,33,25000,0.5,
EUR/CHF,1.20104,0.00005,0,0,0.0001,2,0,33,20000,0.5,
EUR/USD,1.13795,0.00005,0,0,0.0001,1.8,0,33,20000,0.5,
GBP/USD,1.51364,0.00003,0,0,0.0001,1.5,0,33,17000,0.5,
USD/CAD,1.24466,0.0001,0,0,0.0001,2.5,0,33,25000,0.5,
USD/CHF,0.92203,0.00022,0,0,0.0001,2.5,0,33,25000,0.5,
USD/JPY,117.489,0.004,0,0,0.01,1.7,0,33,25000,0.5,
SPX500,2081.43,0.25,0,0,1,0.9,0,20,1,0.02,IBUS500-CFD-SMART
US30,17703.2,3,0,0,1,0.9,0,20,1,0.02,IBUS30-CFD-SMART
NAS100,4654.34,0.5,0,0,1,0.9,0,20,1,0.02,IBUST100-CFD-SMART
UK100,6869,1,0,0,1,1,0,20,1,0.02,IBUK100-CFD-SMART-GBP
GER30,10767.8,1,0,0,1,1,0,20,1,0.02,IBDE30-CFD-SMART-EUR
XAG/USD,15.863,0.013,0,0,0.01,0.01,0,20,1,0.02,XAGUSD-CMDTY-SMART-USD
XAU/USD,1156.25,0.07,0,0,0.01,0.01,0,20,1,1.6,XAUUSD-CMDTY-SMART-USD
#ES,2576,0.25,0,0,0.25,0.25,160,0.04,50,1,ES-FUT-20200918-ES-GLOBEX/-USD
#EUR-6E,1.16,0.00005,0,0,0.0001,0.0001,0.02,0,125000,2.5,EUR-FUT-20180917-6E-GLOBEX-USD
#DAX,13000,0.5,0,0,0.5,0.5,320,0,5,1,DAX-FUT-20200918-FDXM-DTB-EUR
VIX,12,0,0,0,0.01,0.01,0,1,1,0,VIX-IND-CBOE
AAPL,118.44,0.01,0,0,0.01,0.01,0,2,-100,0.01,*-STK-SMART-USD
AMZN,118.44,0.01,0,0,0.01,0.01,0,2,-100,0.01,*-STK-SMART-USD
AXP,74.35,0.03,0,0,0.01,0.01,0,2,-100,0.01,*-STK-SMART-USD 
BA,146.78,0.05,0,0,0.01,0.01,0,2,-100,0.01,*-STK-SMART-USD 
BABA,100,0.05,0,0,0.01,0.01,0,2,-100,0.01,*-STK-SMART-USD 
CAT,71.7,0.01,0,0,0.01,0.01,0,2,-100,0.01,*-STK-SMART-USD 
CSCO,29.33,0.01,0,0,0.01,0.01,0,2,-100,0.01,*-STK-SMART-USD 
CVX,89.63,0.02,0,0,0.01,0.01,0,2,-100,0.01,*-STK-SMART-USD 
DBA,21.3,0.02,0,0,0.01,0.01,0,2,-100,0.01,*-STK-SMART-USD 
DD,62.68,0.01,0,0,0.01,0.01,0,2,-100,0.01,*-STK-SMART-USD 
DIA,254,0.03,0,0,0.01,0.01,0,2,-100,0.01,*-STK-SMART-USD 
DIS,113.61,0.03,0,0,0.01,0.01,0,2,-100,0.01,*-STK-SMART-USD 
EEM,34,0.01,0,0,0.01,0.01,0,2,-100,0.01,*-STK-SMART-USD 
EFA,57.62,0.01,0,0,0.01,0.01,0,2,-100,0.01,*-STK-SMART-USD 
EMB,111.72,0.02,0,0,0.01,0.01,0,2,-100,0.01,*-STK-SMART-USD 
FB,100,0.01,0,0,0.01,0.01,0,2,-100,0.01,*-STK-SMART-USD 
GE,29.38,0.01,0,0,0.01,0.01,0,2,-100,0.01,*-STK-SMART-USD 
GLD,120,0.01,0,0,0.01,0.01,0,2,-100,0.01,*-STK-SMART-USD 
GS,190.64,0.07,0,0,0.01,0.01,0,2,-100,0.01,*-STK-SMART-USD 
HD,123.54,0.05,0,0,0.01,0.01,0,2,-100,0.01,*-STK-SMART-USD 
IBM,140.11,0.08,0,0,0.01,0.01,0,2,-100,0.01,*-STK-SMART-USD 
INTC,34.39,0.01,0,0,0.01,0.01,0,2,-100,0.01,*-STK-SMART-USD 
IWM,100,0.08,0,0,0.01,0.01,0,2,-100,0.01,*-STK-SMART-USD 
JNJ,99.82,0.02,0,0,0.01,0.01,0,2,-100,0.01,*-STK-SMART-USD 
JPM,65.55,0.01,0,0,0.01,0.01,0,2,-100,0.01,*-STK-SMART-USD 
KO,42.46,0.01,0,0,0.01,0.01,0,2,-100,0.01,*-STK-SMART-USD 
LQD,119,0.01,0,0,0.01,0.01,0,2,-100,0.01,*-STK-SMART-USD 
MCD,112.25,0.03,0,0,0.01,0.01,0,2,-100,0.01,*-STK-SMART-USD 
MRK,54.73,0.01,0,0,0.01,0.01,0,2,-100,0.01,*-STK-SMART-USD 
MSFT,53.16,0.01,0,0,0.01,0.01,0,2,-100,0.01,*-STK-SMART-USD 
NKE,130.41,0.05,0,0,0.01,0.01,0,2,-100,0.01,*-STK-SMART-USD 
PFE,35.42,0.01,0,0,0.01,0.01,0,2,-100,0.01,*-STK-SMART-USD 
PG,76.25,0.01,0,0,0.01,0.01,0,2,-100,0.01,*-STK-SMART-USD 
QQQ,173,0.02,0,0,0.01,0.01,0,2,-100,0.01,*-STK-SMART-USD 
SPY,215,0.02,0,0,0.01,0.01,0,2,-100,0.01,*-STK-SMART-USD 
TRV,113.61,0.04,0,0,0.01,0.01,0,2,-100,0.01,*-STK-SMART-USD 
TSLA,422,0.04,0,0,0.01,0.01,0,2,-100,0.01,*-STK-SMART-USD 
UNH,119.05,0.08,0,0,0.01,0.01,0,2,-100,0.01,*-STK-SMART-USD 
UTX,99,0.02,0,0,0.01,0.01,0,2,-100,0.01,*-STK-SMART-USD 
V,78.27,0.03,0,0,0.01,0.01,0,2,-100,0.01,*-STK-SMART-USD 
VEA,35,0.01,0,0,0.01,0.01,0,2,-100,0.01,*-STK-SMART-USD 
VZ,46.27,0.01,0,0,0.01,0.01,0,2,-100,0.01,*-STK-SMART-USD 
WMT,57.56,0.01,0,0,0.01,0.01,0,2,-100,0.01,*-STK-SMART-USD 
XOM,81.62,0.01,0,0,0.01,0.01,0,2,-100,0.01,*-STK-SMART-USD 
VIG,81.62,0.01,0,0,0.01,0.01,0,2,-100,0.01,*-STK-SMART-USD 
VNQ,83.71,0.01,0,0,0.01,0.01,0,2,-100,0.01,*-STK-SMART-USD 
VTI,105.47,0.01,0,0,0.01,0.01,0,2,-100,0.01,*-STK-SMART-USD 
VWO,33,0.01,0,0,0.01,0.01,0,2,-100,0.01,*-STK-SMART-USD 
XLE,63.72,0.01,0,0,0.01,0.01,0,2,-100,0.01,*-STK-SMART-USD 
XLU,49.12,0.01,0,0,0.01,0.01,0,2,-100,0.01,*-STK-SMART-USD 
